中国人民银行在香港成功发行300亿元人民币央行票据,2019-11-07,/goutongjiaoliu/113456/113469/3916228/index.html
陈雨露副行长参加第二届中国国际进口博览会及相关论坛,2019-11-06,/goutongjiaoliu/113456/113469/3915634/index.html
2019年前三季度地区社会融资规模统计表,2019-11-05,/goutongjiaoliu/113456/113469/3914909/index.html
第二十七届中国国际金融展在深圳举行,2019-11-04,/goutongjiaoliu/113456/113469/3914436/index.html
人民银行党委、外汇局党组学习传达贯彻党的十九届四中全会精神,2019-11-01,/goutongjiaoliu/113456/113469/3913096/index.html
中国人民银行 国家市场监督管理总局联合推动金融科技产品纳入国家统一推行的...,2019-10-29,/goutongjiaoliu/113456/113469/3910551/index.html
人民银行文联举办“庆祝新中国成立70周年” 央行职工书法美术摄影作品展,2019-10-28,/goutongjiaoliu/113456/113469/3910288/index.html
中国人民银行发布《中国人民银行货币鉴别及假币收缴、鉴定管理办法》,2019-10-25,/goutongjiaoliu/113456/113469/3909208/index.html
中国人民银行发布《人民币图样使用管理办法》,2019-10-25,/goutongjiaoliu/113456/113469/3909223/index.html
中国人民银行公告〔2019〕第23号,2019-10-25,/goutongjiaoliu/113456/113469/3909106/index.html
2019年三季度金融机构贷款投向统计报告,2019-10-25,/goutongjiaoliu/113456/113469/3908949/index.html
中欧双边本币互换协议再次展期,2019-10-25,/goutongjiaoliu/113456/113469/3908391/index.html
国家发展改革委、中国人民银行有关部门负责人就《关于进一步明确规范金融机...,2019-10-25,/goutongjiaoliu/113456/113469/3908320/index.html
2019年三季度小额贷款公司统计数据报告,2019-10-25,/goutongjiaoliu/113456/113469/3908333/index.html
2019年第三季度企业家问卷调查报告,2019-10-24,/goutongjiaoliu/113456/113469/3894216/index.html
2019年第三季度银行家问卷调查报告,2019-10-24,/goutongjiaoliu/113456/113469/3894208/index.html
2019年第三季度城镇储户问卷调查报告,2019-10-24,/goutongjiaoliu/113456/113469/3894200/index.html
银行科技发展奖观摩研讨会在上海召开,2019-10-21,/goutongjiaoliu/113456/113469/3906195/index.html
2019年9月份金融市场运行情况,2019-10-21,/goutongjiaoliu/113456/113469/3906200/index.html
第六届世界互联网大会“金融科技——深度融合·多向赋能”分论坛在浙江乌镇...,2019-10-21,/goutongjiaoliu/113456/113469/3905935/index.html
范一飞副行长在上海出席复旦大学加入金融科技研究中心签约暨金融科技前沿研...,2019-10-21,/goutongjiaoliu/113456/113469/3905938/index.html
中国普惠金融指标分析报告（2018年）,2019-10-21,/goutongjiaoliu/113456/113469/3905926/index.html
中国人民银行行长易纲出席第40届国际货币与金融委员会会议,2019-10-20,/goutongjiaoliu/113456/113469/3905851/index.html
中国人民银行行长易纲会见日本财长麻生太郎,2019-10-20,/goutongjiaoliu/113456/113469/3905848/index.html
中国人民银行副行长陈雨露出席金砖国家财长和央行行长会议等相关活动,2019-10-20,/goutongjiaoliu/113456/113469/3905844/index.html
中国人民银行行长易纲会见英格兰银行行长卡尼,2019-10-19,/goutongjiaoliu/113456/113469/3905801/index.html
中国人民银行行长易纲出席可持续金融国际平台启动仪式,2019-10-19,/goutongjiaoliu/113456/113469/3905794/index.html
中国人民银行行长易纲、副行长陈雨露出席二十国集团财长和央行行长会议和副...,2019-10-19,/goutongjiaoliu/113456/113469/3905786/index.html
中国人民银行行长易纲会见美联储主席鲍威尔,2019-10-18,/goutongjiaoliu/113456/113469/3905142/index.html
中国人民银行行长易纲会见国际货币与金融委员会主席、南非央行行长康亚戈,2019-10-18,/goutongjiaoliu/113456/113469/3905139/index.html
中国人民银行行长易纲会见英国财政大臣贾维德,2019-10-18,/goutongjiaoliu/113456/113469/3905136/index.html
中国人民银行行长易纲会见国际货币基金组织总裁格奥尔基耶娃,2019-10-18,/goutongjiaoliu/113456/113469/3905133/index.html
中国人民银行于10月17日开展央行票据互换（CBS）操作,2019-10-17,/goutongjiaoliu/113456/113469/3904960/index.html
2019年第三季度金融统计数据新闻发布会文字实录,2019-10-16,/goutongjiaoliu/113456/113469/3904475/index.html
中国人民银行公告〔2019〕第22号,2019-10-16,/goutongjiaoliu/113456/113469/3903883/index.html
中国人民银行 国家外汇管理局进一步便利境外机构投资者投资银行间债券市场,2019-10-16,/goutongjiaoliu/113456/113469/3903915/index.html
中国人民银行 国家外汇管理局关于进一步便利境外机构投资者投资银行间债券市...,2019-10-16,/goutongjiaoliu/113456/113469/3903911/index.html
2019年前三季度金融统计数据报告,2019-10-15,/goutongjiaoliu/113456/113469/3903659/index.html
2019年9月社会融资规模存量统计数据报告,2019-10-15,/goutongjiaoliu/113456/113469/3903642/index.html
2019年前三季度社会融资规模增量统计数据报告,2019-10-15,/goutongjiaoliu/113456/113469/3903656/index.html
陈雨露副行长出席人民银行党校2019年秋季局处级干部专题研究班开班式,2019-10-12,/goutongjiaoliu/113456/113469/3902498/index.html
中国人民银行有关部门负责人就《标准化债权类资产认定规则（征求意见稿）》...,2019-10-12,/goutongjiaoliu/113456/113469/3902174/index.html
标准化债权类资产认定规则（征求意见稿）,2019-10-12,/goutongjiaoliu/113456/113469/3902171/index.html
易纲行长在《中国金融》刊发署名文章：新中国成立70年金融事业取得辉煌成就,2019-09-30,/goutongjiaoliu/113456/113469/3898233/index.html
人民银行总行机关举行升国旗仪式 庆祝中华人民共和国成立70周年,2019-09-30,/goutongjiaoliu/113456/113469/3898428/index.html
中国人民银行行长易纲会见古巴驻华大使拉米雷斯,2019-09-30,/goutongjiaoliu/113456/113469/3898196/index.html
中国人民银行公告〔2019〕第20号,2019-09-29,/goutongjiaoliu/113456/113469/3897518/index.html
中国人民银行货币政策委员会召开2019年第三季度例会,2019-09-27,/goutongjiaoliu/113456/113469/3897483/index.html
中国人民银行公告〔2019〕第19号,2019-09-27,/goutongjiaoliu/113456/113469/3897124/index.html
