东南,汾水,无,9,鸿图苑,108400613233,2室1厅,126.8,荔湾,简装,54.72平米,49.44㎡,1995
东北,南岸路,有,25,荔港南湾,108400522922,2室2厅,255,荔湾,精装,63.5平米,52.93㎡,1999
北,坑口,有,11,翠荷轩,108400634448,2室2厅,258,荔湾,精装,78.38平米,64.69㎡,2011
东南,花地湾,有,31,乐怡居,108400030491,3室2厅,310,荔湾,精装,98.09平米,77.75㎡,1996
东南,南岸路,有,25,荔港南湾,108400503192,3室2厅,310,荔湾,精装,88.83平米,75.23㎡,1999
东北,龙津,无,7,人民中路,108400652765,2室1厅,118,荔湾,精装,44.35平米,暂无数据,1988
东南,广钢新城,无,9,广钢观鹤小区,108400652673,2室1厅,180,荔湾,简装,63平米,56.88㎡,1997
东 西,周门,有,9,周门小区中兴苑,108400340907,3室1厅,240,荔湾,简装,77.67平米,70.18㎡,1998
南,西村,有,7,西增路华业里,108400633532,1室1厅,138,荔湾,简装,29.77平米,暂无数据,未知
西南,龙津,有,28,世纪广场,108400649315,2室1厅,340,荔湾,简装,76.8平米,63.24㎡,1999
东南,南岸路,有,34,荔港南湾,108400629598,3室1厅,370,荔湾,精装,87平米,暂无数据,2008
东,龙津,无,9,光复阁,108400622876,2室1厅,253,荔湾,简装,75.31平米,64.78㎡,1998
东南,西村,有,15,富力环市西苑,108400461797,3室2厅,418,荔湾,精装,98.73平米,78.49㎡,2000
南,西村,有,32,岭南湾畔,108400301860,3室2厅,445,荔湾,精装,93.05平米,68.99㎡,2010
北,大坦沙,有,12,珠岛花园,108400015848,2室1厅,208,荔湾,简装,65平米,暂无数据,1995
西北,陈家祠,有,18,皇上皇大厦,108400583031,3室2厅,450,荔湾,简装,99.83平米,83.56㎡,2002
东 西,龙津,有,25,元邦明月星辉,108400393296,2室1厅,369,荔湾,精装,93.54平米,68.29㎡,2011
东北,大坦沙,有,26,花语水岸,108400531289,2室1厅,325,荔湾,简装,75.92平米,61.67㎡,未知
南,陈家祠,无,7,荔湾路,108400616297,2室1厅,189,荔湾,精装,65.77平米,59.42㎡,未知
东南,周门,无,9,周门小区周门街,108400328972,2室1厅,198,荔湾,精装,51.75平米,暂无数据,1998
西南,滘口,无,7,新世界逸彩庭园,108400627086,2室1厅,238,荔湾,精装,64.21平米,55.94㎡,2007
