南,珠江新城中,有,33,嘉裕公馆,108400186340,3室2厅,1650,天河,精装,151.36平米,125.54㎡,2015
南,五山,无,6,广东外语职业艺术学院五山校区,108400404103,2室1厅,260,天河,精装,67.98平米,61.42㎡,2000
北,棠下,无,9,棠德花园,108400428818,2室1厅,200,天河,简装,56.56平米,50.21㎡,1997
南 北,天河公园,无,9,华港花园,108400104350,3室2厅,515,天河,精装,101.08平米,92㎡,2004
南 北,天河南,无,7,六运小区,108400639523,2室1厅,330,天河,精装,72.1平米,暂无数据,1993
东,天河公园,有,19,环宇花园,108400562806,1室0厅,112,天河,简装,24.06平米,18.19㎡,2000
东北,珠江新城西,有,33,漾晴居,108200000267,3室2厅,670,天河,精装,97.62平米,81.54㎡,1998
北,棠下,有,26,富力天朗明居N区,108400397143,2室2厅,340,天河,精装,78平米,61.87㎡,2002
南,燕塘,有,9,金晖花园,108400414947,2室2厅,258,天河,精装,68平米,63.1㎡,1998
北,沙太南,有,18,时代花生二期,108400394847,3室2厅,320,天河,精装,73.88平米,59.05㎡,2008
东,天河公园,有,19,广厦居,108400643911,2室1厅,320,天河,简装,88.13平米,69.88㎡,2000
东 南 西,华景新城,有,29,华景新城信华花园,108400648026,3室2厅,660,天河,简装,104.69平米,79.07㎡,2013
北,沙太南,无,6,南华工商学院,108400478872,2室2厅,208,天河,精装,74.5平米,67.3㎡,2005
西南,天河公园,有,27,翠湖山庄,108400620092,3室2厅,530,天河,精装,105.95平米,90㎡,1999
南,珠江新城中,有,31,博雅御轩,108400570383,4室2厅,1460,天河,精装,182.48平米,148.56㎡,2008
西,华景新城,有,9,华景新城泽晖苑,108400275774,2室2厅,425,天河,精装,78.83平米,暂无数据,1999
东南,天润路,有,32,鸿景园,108400590917,3室2厅,598,天河,精装,108.33平米,90.28㎡,2002
东 西,珠江新城西,有,21,保利香槟花园,108400554914,4室2厅,1230,天河,精装,162.91平米,131.13㎡,2004
东南,沙太南,有,11,伍仙花园B区,108400645810,3室1厅,270,天河,精装,75.27平米,62.74㎡,2002
北 南,华景新城,有,36,华景新城陶然庭园,108400650222,3室2厅,640,天河,精装,109.71平米,88.3㎡,2006
西南,华景新城,有,9,华景新城泽晖苑,108400515885,2室2厅,375,天河,精装,67.27平米,57.26㎡,1999
东北,华景新城,有,28,珠江俊园,108400593664,4室2厅,765,天河,精装,130.75平米,104㎡,2007
南,体育中心,有,33,金穗大厦,108400174549,3室2厅,450,天河,简装,113平米,108㎡,1997
东南,五山,无,6,第47中教师宿舍,108400533842,3室2厅,380,天河,简装,92.92平米,86.92㎡,2000
西北,沙河,有,19,豪景花园,108400634518,3室1厅,315,天河,精装,81.46平米,68.54㎡,2013
东南,龙口西,有,19,边检大院,108400179980,3室2厅,688,天河,精装,110.47平米,88.12㎡,2015
南,沙太南,无,8,侨乐新村,108400532322,4室2厅,275,天河,简装,97.47平米,暂无数据,1995
北,珠江新城中,有,32,隽峰苑,108400418614,2室2厅,638,天河,精装,63.82平米,暂无数据,2008
西南,燕塘,有,11,观山苑,108400512606,1室1厅,225,天河,精装,39.57平米,32.14㎡,2010
东南 南,沙太南,无,9,天平花苑,108400423418,2室1厅,175,天河,简装,56.91平米,暂无数据,1996
东,华景新城,无,9,华景新城叠翠居,108400249159,2室1厅,348,天河,精装,87.78平米,82.22㎡,1994
东南 西,天河南,有,31,恒城大厦,108400409175,3室1厅,410,天河,简装,94.28平米,78.14㎡,1998
南,沙河,无,7,先烈东路,108400431597,3室2厅,198,天河,精装,69.59平米,暂无数据,1999
东北,天润路,有,28,东方之珠花园,108400576390,3室1厅,518,天河,精装,98.98平米,85.93㎡,2004
东北,天河公园,有,17,华建小区,108400148442,3室2厅,449,天河,简装,101.57平米,88.08㎡,2001
南 北,龙口东,有,9,金海花园,108400526520,2室1厅,468,天河,精装,72.54平米,61.9㎡,2002
东南,龙口西,有,32,帝景苑,108400062948,3室2厅,678,天河,简装,112平米,暂无数据,2000
东,东圃,有,16,天力居,108400627979,2室1厅,250,天河,简装,71.35平米,60.5㎡,1998
东南,珠江新城东,有,30,粤海丽江花园,108400502980,4室2厅,1298,天河,精装,166.76平米,132.47㎡,2011
南,天河公园,有,19,环宇花园,108400583004,3室2厅,370,天河,精装,94.04平米,80.67㎡,2000
东南,天润路,有,30,穗园小区,108400583274,3室2厅,618,天河,简装,102平米,暂无数据,2000
东北,天河公园,有,29,理想蓝堡国际花园,108400466942,3室2厅,680,天河,精装,106.04平米,暂无数据,2004
东南,珠江新城东,有,24,南国花园,108400607105,3室2厅,880,天河,精装,111.19平米,91.17㎡,2008
东南,龙口西,有,18,德荣小区,108400034791,2室1厅,415,天河,精装,81.18平米,暂无数据,1995
东北,沙太南,无,9,天平花苑,108400606246,3室2厅,245,天河,简装,92.63平米,87.5㎡,1996
北,珠江新城中,有,26,方圆月岛,108400204830,1室1厅,526,天河,精装,58.75平米,44.18㎡,2009
