又跌出新高，奶奶的，还有没有救了,440,0,07-11 13:27
这样强行向上拉，我就想知道最后怎么收场[大笑],366,0,07-11 13:18
今天要涨停才行,434,0,07-11 13:17
呵呵，有本事50来个翻倍，我看热闹，看你怎么崩盘的！,412,0,07-11 13:17
慢慢啦，就不相信你能印那么多钱,463,0,07-11 11:57
畸形人为,399,0,07-11 11:49
自弹自唱吧，不会有人接盘的。,412,0,07-11 11:49
最看不惯那些撸了就跑的裸管们，一付他是胜天，他就嘴,375,0,07-11 11:26
不拉了？,423,0,07-11 11:15
上证50，中国A股的最后遮羞内裤,396,0,07-11 11:00
拉到你们出手接盘为止。,438,0,07-11 10:59
50没有最高，只有更高。不要跟国家作对,912,3,07-11 10:52
上证50狂拉，挡不住95%股票狂泄。哈哈哈,392,0,07-11 10:49
50涨大盘跌，50跌大盘肯定跌，你说这50不是害人精吗？,907,2,07-11 10:38
看你能不能拉到10000点。,383,0,07-11 10:38
见顶，出货！,353,0,07-11 10:37
自弹自唱吧！,337,0,07-11 10:28
和股票无关的股票指数 与人民相反的人民正午 茅台强则,349,0,07-11 10:22
妈了个巴子上证50,322,0,07-11 10:22
漂亮50又一次起飞，抛弃了大多数个股,360,0,07-11 10:16
50不史，3000不活,289,0,07-11 10:13
希望多拉点，最好涨停,326,0,07-11 10:12
不服50都是嫉妒，不要跟钱过不去，该跟的还是要跟。,356,0,07-11 10:09
喜看五零强装红 苦掩落花满地伤,300,0,07-11 09:57
50又在害人了。,505,1,07-11 09:56
快看！50又出来害人了！,365,0,07-11 09:54
这是为了发新股,324,0,07-11 09:46
吼、大熊又出来溜达了……正下山坡行……,475,0,07-11 09:37
雾里看花，看懂的发财了。。。,417,0,07-11 09:18
盐铁专营和土地专营，盐商和房地产商,1515,4,07-10 22:59
股票分析专家，首先必须人品要好，能够诚实待人，再加,434,0,07-10 22:35
悪势力又涨了,579,2,07-10 18:12
世茂股份:估值洼地、真金白银、物美价廉、破净破发！,4282,15,07-10 17:49
为啥上证50涨得这么好？安全吗,366,0,07-10 16:28
50，你涨吧！爷真心不敢接货。愿意拉到多少都行。反正,448,0,07-10 15:49
目的达到了，50自己玩吧。。。,876,1,07-10 15:27
国家队护盘,435,0,07-10 14:56
上方空间有限,436,0,07-10 14:26
股市里，最可恨的就是，像牌桌打牌一样，有人可以看见,654,0,07-10 14:26
强拉指数没任何意义，空仓看戏,396,0,07-10 14:04
妖精？妖怪？害人精？到底谁才是真正的害人精？？？,408,0,07-10 14:04
漂亮50你要挺住呀，你是股民最后的希望！,429,0,07-10 13:46
上证50指数，就那几十只股票，怎么能代表，几千只股票,431,0,07-10 13:45
伪价值,303,0,07-10 12:24
大盘己跌绿，5O下午再跌一下股灾又来,439,0,07-10 11:05
操纵顾家罪魁祸首,404,0,07-10 11:03
五零涨个股大跌！！！草,429,0,07-10 10:46
吗个逼涨俺就是不追。,23,0,07-10 10:30
一切为了出货,502,0,07-10 10:28
直线拉升硬上,661,1,07-10 10:27
看50表演，,571,0,07-10 10:01
获利已丰兑现为上,374,0,07-10 09:40
大盘波段头部确立，现在止盈。,856,1,07-09 18:02
电广传媒是一家值得大家长期投资的股票。,579,0,07-09 06:53
五穷六绝七翻身！呵呵，50七月开始套人！,1877,4,07-07 23:05
真乃神反向指标,910,1,07-07 20:15
英媒：中国废钢利用激增 国际矿石巨头“如意算盘”或,982,0,07-07 18:33
今天买入了50etf期权8月沽2550 ，卖空50etf7月购2500,580,0,07-07 15:45
为什么一直骂50，我个人感觉，一直在护盘啊，一般看它,622,0,07-07 15:16
好消息今晚发十新股,424,0,07-07 14:44
该休息让别人涨了,456,0,07-07 14:36
"稀土指标股集体涨停;五矿稀土,广晟有色,北方稀土全面",534,0,07-07 14:36
上方抛压沉重,342,0,07-07 14:24
本人要求不高，跑赢上证50或者沪深300就够了，同时只,584,0,07-07 14:23
这么严重的背离，这么极度的缩量，真是漂亮，坐看表演,3268,8,07-07 14:22
引用一下黄洪副主席的话： “如果一个人30岁投保商业,3929,3,07-07 14:15
50我草拟祖宗,376,0,07-07 13:54
随时闪崩,397,0,07-07 13:50
出货,372,0,07-07 13:50
把50剁了喂狗,368,0,07-07 13:47
本人要求不高，跑赢上证50或者沪深300就够了，同时只,539,1,07-07 13:45
上方空间有限小心了,368,0,07-07 13:27
上证如不能突破上方缺口就只能往下做,391,0,07-07 13:23
这点量想干啥？,487,0,07-07 13:19
